區域,,114年底
信義鄉,南投縣,14
仁愛鄉,南投縣,29
斗六市,雲林縣,381
斗南鎮,雲林縣,117
虎尾鎮,雲林縣,258
西螺鎮,雲林縣,133
土庫鎮,雲林縣,79
北港鎮,雲林縣,85
古坑鄉,雲林縣,60
大埤鄉,雲林縣,37
莿桐鄉,雲林縣,56
林內鄉,雲林縣,19
二崙鄉,雲林縣,41
崙背鄉,雲林縣,41
麥寮鄉,雲林縣,123
東勢鄉,雲林縣,26
褒忠鄉,雲林縣,23
臺西鄉,雲林縣,32
元長鄉,雲林縣,35
四湖鄉,雲林縣,17
口湖鄉,雲林縣,35
水林鄉,雲林縣,24
太保市,嘉義縣,153
朴子市,嘉義縣,138
布袋鎮,嘉義縣,30
大林鎮,嘉義縣,93
民雄鄉,嘉義縣,201
溪口鄉,嘉義縣,22
新港鄉,嘉義縣,47
六腳鄉,嘉義縣,28
東石鄉,嘉義縣,24
義竹鄉,嘉義縣,17
鹿草鄉,嘉義縣,27
水上鄉,嘉義縣,111
中埔鄉,嘉義縣,95
竹崎鄉,嘉義縣,49
梅山鄉,嘉義縣,25
番路鄉,嘉義縣,22
大埔鄉,嘉義縣,6
阿里山鄉,嘉義縣,3
屏東市,屏東縣,511
潮州鎮,屏東縣,185
東港鎮,屏東縣,86
恆春鎮,屏東縣,72
萬丹鄉,屏東縣,127
長治鄉,屏東縣,71
麟洛鄉,屏東縣,28
九如鄉,屏東縣,44
里港鄉,屏東縣,59
鹽埔鄉,屏東縣,34
高樹鄉,屏東縣,24
萬巒鄉,屏東縣,34
內埔鄉,屏東縣,113
竹田鄉,屏東縣,34
新埤鄉,屏東縣,13
枋寮鄉,屏東縣,42
新園鄉,屏東縣,38
崁頂鄉,屏東縣,18
林邊鄉,屏東縣,19
南州鄉,屏東縣,18
佳冬鄉,屏東縣,22
琉球鄉,屏東縣,8
車城鄉,屏東縣,4
滿州鄉,屏東縣,11
枋山鄉,屏東縣,6
三地門鄉,屏東縣,1
霧臺鄉,屏東縣,1
瑪家鄉,屏東縣,5
泰武鄉,屏東縣,5
來義鄉,屏東縣,5
春日鄉,屏東縣,-
獅子鄉,屏東縣,3
牡丹鄉,屏東縣,2
臺東市,臺東縣,218
成功鎮,臺東縣,19
關山鎮,臺東縣,10
卑南鄉,臺東縣,26
鹿野鄉,臺東縣,15
池上鄉,臺東縣,15
東河鄉,臺東縣,13
長濱鄉,臺東縣,10
太麻里鄉,臺東縣,5
大武鄉,臺東縣,2
綠島鄉,臺東縣,6
海端鄉,臺東縣,1
延平鄉,臺東縣,1
金峰鄉,臺東縣,3
達仁鄉,臺東縣,2
蘭嶼鄉,臺東縣,5
花蓮市,花蓮縣,352
鳳林鎮,花蓮縣,13
玉里鎮,花蓮縣,36
新城鄉,花蓮縣,72
吉安鄉,花蓮縣,257
壽豐鄉,花蓮縣,31
光復鄉,花蓮縣,9
豐濱鄉,花蓮縣,4
瑞穗鄉,花蓮縣,12
富里鄉,花蓮縣,4
秀林鄉,花蓮縣,9
萬榮鄉,花蓮縣,2
卓溪鄉,花蓮縣,5
馬公市,澎湖縣,85
湖西鄉,澎湖縣,11
白沙鄉,澎湖縣,14
西嶼鄉,澎湖縣,22
望安鄉,澎湖縣,2
七美鄉,澎湖縣,7
中山區,基隆市,121
七堵區,基隆市,167
暖暖區,基隆市,112
仁愛區,基隆市,79
中正區,基隆市,154
安樂區,基隆市,260
信義區,基隆市,213
新竹市,新竹市,"3,964"
嘉義市,嘉義市,"1,059"
金城鎮,金門縣,100
金沙鎮,金門縣,54
金湖鎮,金門縣,80
金寧鄉,金門縣,95
烈嶼鄉,金門縣,23
烏坵鄉,金門縣,1
南竿鄉,連江縣,7
北竿鄉,連江縣,2
莒光鄉,連江縣,2
東引鄉,連江縣,2
