負責人,站ID,站點規格,啟用日期,名稱,充電槍數,AC槍數量,DC槍數量,槍頭規格,經度,緯度,區域屬性,站點屬性
Anita,EC66,純AC站,2025/09/18,台北市北投運動中心,2,2,0,J1772、TYPE2,121.509616,25.11616,住宅區,運動
Ivan,NT0U,純AC站,2025/09/22,新北興穀國小操場地下停車場,7,7,0,J1772、TYPE2,121.475523,25.049805,風景區,地下停車場
Xana,EC12,純AC站,2025/09/24,Times台南大橋一街第2停車場,1,1,0,TYPE2,120.230112,23.02232,交通幹道區,平面停車場
Xana,EC16,純AC站,2025/09/24,Times高雄仁武仁忠路停車場,1,1,0,TYPE2,120.356478,22.676454,交通幹道區,平面停車場
Xana,EC07,純AC站,2025/09/24,Times高雄重立孟子停車場,1,1,0,J1772,120.313535,22.674007,住宅區,平面停車場
Xana,EC13,純AC站,2025/09/24,Times台南中山南路停車場,1,1,0,TYPE2,120.237825,23.016693,住宅區,平面停車場
Xana,EC08,純AC站,2025/09/24,Times高雄文濱路停車場,1,1,0,J1772,120.348606,22.640086,住宅區,平面停車場
Xana,EC04,純AC站,2025/09/24,Times高雄文天路停車場,1,1,0,J1772,120.312507,22.685549,住宅區,平面停車場
Xana,EC09,純AC站,2025/09/24,Times高雄美術東四路第2停車場,1,1,0,J1772,120.290407,22.663463,住宅區,平面停車場
Xana,EC06,純AC站,2025/09/24,Times高雄岡山捷安路商場停車場,1,1,0,J1772,120.300071,22.78161,商業區,平面停車場
Xana,EC15,純AC站,2025/09/24,Times高雄大學二十街停車場,1,1,0,TYPE2,120.283093,22.729087,住宅區,平面停車場
Xana,EC10,純AC站,2025/09/24,Times高雄鳳山文鳳文濱停車場,1,1,0,J1772,120.348449,22.642591,住宅區,平面停車場
Xana,EC03,純AC站,2025/09/24,Times台南東區生產路停車場,1,1,0,J1772,120.231202,22.965821,住宅區,平面停車場
Xana,EC17,純AC站,2025/09/24,Times高雄鳳山五甲五福停車場,1,1,0,TYPE2,120.323916,22.589314,交通幹道區,平面停車場
Xana,EC19,純AC站,2025/09/24,Times高雄松江同盟停車場,1,1,0,TYPE2,120.304529,22.651587,住宅區,平面停車場
Xana,EC14,純AC站,2025/09/24,Times台南北成路停車場,1,1,0,J1772,120.210091,23.018944,風景區,平面停車場
Xana,EC18,純AC站,2025/09/24,Times高雄寶興路第2停車場,1,1,0,J1772,120.326524,22.644608,住宅區,平面停車場
Xana,EC20,純AC站,2025/09/24,Times高雄鼎新路停車場,1,1,0,J1772,120.322766,22.662921,住宅區,平面停車場
Xana,EC05,純AC站,2025/09/24,Times高雄至聖路停車場,2,2,0,J1772、TYPE2,120.301591,22.659967,風景區,平面停車場
Lisa,EC62,AC+DC站,2025/09/25,台北內湖CITYLINK停車場,13,11,2,J1772、TYPE2、CCS1、CCS2,121.593884,25.084746,住宅區,百貨
Anita,FC17,純AC站,2025/09/26,苗栗聯合環球科技竹南廠房,6,6,0,J1772、TYPE2,120.908817,24.71342,住宅區,商辦
