負責人,站ID,站點規格,啟用日期,名稱,充電槍數,AC槍數量,DC槍數量,槍頭規格,經度,緯度,區域屬性,站點屬性
Lisa,EA76,純AC站,2025/02/19,歐特儀股份有限公司甲仙林森(B區)停車場,1,1,0,J1772,120.587431,23.082376,交通幹道區,平面停車場
Kathy,EA70,純AC站,2025/02/20,基隆中正行政大樓停車場,3,3,0,J1772、TYPE2,121.75945,25.141275,辦公區,政府機關
Kathy,EB29,純DC站,2025/02/20,辰淵_桃園客家文化館,4,0,4,CCS1、CCS2,121.233896,24.846132,交通幹道區,景點
Kathy,EA93,純AC站,2025/03/06,聯合醫院_台北和平院區,1,1,0,J1772,121.507353,25.035823,住宅區,醫院
Kathy,EA99,純AC站,2025/03/07,歐特儀_台北延平國小停車場,6,6,0,J1772、TYPE2,121.511909,25.067267,住宅區,平面停車場
Kathy,EB10,純AC站,2025/03/07,歐特儀_台中中央公園北側停車場,9,9,0,J1772、TYPE2,120.650172,24.197066,交通幹道區,平面停車場
Lisa,EB31,純AC站,2025/03/07,歐特儀股份有限公司旗山體育場停車場,1,1,0,J1772,120.480508,22.887265,商業區,平面停車場
Lisa,EB34,純AC站,2025/03/07,平和停車場,2,2,0,J1772、TYPE2,120.335779,22.562509,住宅區,平面停車場
Lisa,EB35,純AC站,2025/03/07,歐特儀股份有限公司瑞昌停車場,1,1,0,J1772,120.335855,22.606331,風景區,平面停車場
Lisa,EB36,純AC站,2025/03/07,民富停車場,1,1,0,J1772,120.262652,22.854117,商業區,平面停車場
Anita,TP05,純AC站,2025/03/14,台北大龍國小地下停車場,7,7,0,J1772、TYPE2,121.517352,25.074122,住宅區,地下停車場
Anita,TP24,純AC站,2025/03/14,台北蘭雅公園地下停車場 (本站僅提供實體悠遊卡充電),4,4,0,J1772、TYPE2,121.529347,25.109543,住宅區,地下停車場
Anita,TP13,純AC站,2025/03/21,台北青年公園高爾夫球場地下停車場,8,8,0,J1772、TYPE2,121.507495,25.024912,風景區,地下停車場
Lisa,EA51,純AC站,2025/03/25,歐特儀股份有限公司瑞北停車場,2,2,0,J1772、TYPE2,120.329592,22.608886,住宅區,平面停車場
Anita,TP19,純AC站,2025/03/28,台北前港公園地下停車場,15,15,0,J1772、TYPE2,121.521401,25.085853,住宅區,地下停車場
Anita,TP25,純AC站,2025/03/28,台北海光公園地下停車場,4,4,0,J1772、TYPE2,121.508565,25.080959,住宅區,地下停車場
Lisa,EA17,純AC站,2025/04/01,成睿_CR崁頂仁美停車場,2,2,0,Type2,121.26531,24.955758,交通幹道區,平面停車場
Kathy,EB38,純AC站,2025/04/01,力揚_台北大稻埕停車場,4,4,0,J1772、TYPE2,121.510515,25.058272,商業區,平面停車場
Lisa,EB27,純AC站,2025/04/11,鼓山國小操場地下停車場,10,10,0,J1772、TYPE2,120.271779,22.624745,風景區,地下停車場
Lisa,EB41,純AC站,2025/04/17,宏達_新北三重慈濟停車場,2,2,0,J1772、TYPE2,121.473346,25.068299,住宅區,平面停車場
Lisa,EB42,純AC站,2025/04/17,宏達_新北永利停車場,2,2,0,J1772、TYPE2,121.52009,25.005523,商業區,立體停車場
Anita,EB51,純AC站,2025/04/17,宏匯_新北思源公共停車場,10,10,0,J1772、TYPE2,121.458719,25.058747,風景區,立體停車場
Kathy,EB32,純AC站,2025/04/22,歐特儀_三峽台北大學運動場停車場,20,20,0,J1772、TYPE2,121.364274,24.938824,住宅區,平面停車場
Jason,7E08,純DC站,2025/04/24,7-11_台中豐科門市,2,0,2,CCS1、CCS2,120.712888,24.262054,交通幹道區,超商
Lisa,TD04,AC+DC站,2025/04/28,台東成功鎮公所,4,2,2,J1772、CCS1、CCS2,121.380366,23.105931,交通幹道區,政府機關
Xana,EB58,純AC站,2025/04/30,新北國家電影及視聽文化中心,2,2,0,J1772,121.44742,25.056796,住宅區,景點
Anita,TP02,純AC站,2025/04/30,台北啟聰學校地下停車場,4,4,0,J1772、TYPE2,121.511589,25.074359,住宅區,地下停車場
Lisa,EB33,純DC站,2025/05/05,台北南山廣場,4,0,4,CCS1、CCS2,121.567573,25.034554,商業區,百貨
Kathy,EB23,純AC站,2025/04/30,辰淵_高雄七老爺停車場,2,2,0,J1772、TYPE2,120.354983,22.597161,住宅區,平面停車場
Kathy,EB24,純AC站,2025/04/30,辰淵_高雄孔宅停車場,2,2,0,J1772、TYPE2,120.372934,22.578935,住宅區,平面停車場
Kathy,EB37,純AC站,2025/04/30,力揚_桃園龜山公九停車場,4,4,0,J1772、TYPE2,121.367812,25.055261,商業區,平面停車場
Kathy,EB57,純AC站,2025/04/30,力揚_基隆麥金停車場,1,1,0,J1772,121.722027,25.120751,住宅區,平面停車場
Lisa,EB44,純AC站,2025/05/09,歐特儀股份有限公司文化中心立體停車場,17,17,0,J1772、TYPE2,120.316943,22.62472,住宅區,立體停車場
Anita,TP12,純AC站,2025/05/16,台北古亭國中地下停車場,7,7,0,J1772、TYPE2,121.509926,25.023903,住宅區,地下停車場
Anita,TP37,純AC站,2025/05/23,台北開勝平面停車場,2,2,0,J1772、TYPE2,121.504909,25.140763,住宅區,平面停車場
Anita,TP43,純AC站,2025/05/23,台北關渡水岸自然公園平面停車場,9,9,0,J1772、TYPE2,121.46293,25.118509,風景區,平面停車場
Ivan,TK18,純AC站,2025/05/20,燦坤_桃園南崁店,2,2,0,J1772、TYPE2,121.290024,25.050476,商業區,連鎖量販-燦坤
Ivan,MG02,純AC站,2025/05/26,MG順怡汽車_南投,1,1,0,J1772,120.667095,23.930844,商業區,車廠
Xana,EB72,純AC站,2025/05/28,Times_宜蘭羅東車站前停車場,2,2,0,TYPE2,121.776337,24.678402,商業區,平面停車場
Lisa,EB40,純AC站,2025/05/29,宏達_台北松仁停車場,2,2,0,J1772、TYPE2,121.569857,25.024037,住宅區,地下停車場
Anita,TP33,純AC站,2025/05/29,台北中山運動中心旁平面停車場 ,2,2,0,J1772、TYPE2,121.521648,25.05528,住宅區,平面停車場
Kathy,EB30,純AC站,2025/05/29,國立臺灣歷史博物館遊客停車場,5,5,0,J1772、TYPE2,120.231856,23.059168,住宅區,景點
Kathy,EB39,純AC站,2025/05/29,力揚_板橋體育場,2,2,0,J1772、TYPE2,121.469913,25.009854,交通幹道區,運動
Kathy,EB59,純AC站,2025/05/29,辰淵_高雄國軒停車場,2,2,0,J1772、TYPE2,120.284717,22.781982,住宅區,平面停車場
Anita,TP09,純AC站,2025/06/06,台北兒童育樂中心平面停車場,2,2,0,J1772、TYPE2,121.521266,25.074964,住宅區,平面停車場
Kathy,EB48,純AC站,2025/06/06,歐特儀_屏東社頂公園停車場,1,1,0,J1772,120.818745,21.955841,風景區,平面停車場
Kathy,EB50,純AC站,2025/06/06,歐特儀_屏東大灣A停車場,2,2,0,J1772,120.796619,21.945014,風景區,平面停車場
Kathy,EB49,純AC站,2025/06/06,歐特儀_屏東船帆石停車場,1,1,0,J1772,120.823013,21.93475,住宅區,平面停車場
Kathy,EB68,純AC站,2025/06/10,台北康樂合署大樓地下停車場,1,1,0,J1772,121.618964,25.072431,住宅區,地下停車場
Xana,EB73,純AC站,2025/06/09,台中日月千禧酒店,8,8,0,J1772、TYPE2,120.642028,24.157045,住宅區,飯店
Anita,TP07,純AC站,2025/06/13,台北慶昌橋下停車場,2,2,0,J1772、TYPE2,121.51571,25.076229,住宅區,平面停車場
Anita,TP11,純AC站,2025/06/13,台北萬華國中地下停車場,13,13,0,J1772、TYPE2,121.499568,25.029274,住宅區,地下停車場
Anita,TP36,純AC站,2025/06/13,台北至誠平面停車場,2,2,0,J1772、TYPE2,121.531381,25.101863,住宅區,平面停車場
Anita,TP20,純AC站,2025/06/13,台北福林公園地下停車場 ,6,6,0,J1772、TYPE2,121.530648,25.096138,住宅區,地下停車場
Anita,TP51,純AC站,2025/06/18,台北福港街平面停車場,2,2,0,J1772、TYPE2,121.518649,25.087423,住宅區,平面停車場
